Perfectly located Castro	Discover daily local life in city center, friendly neighborhood, clandestine casino, karaoke, old-style artisans, art gallery and artist studio downstairs.	2023-05-07T21:14:57.419Z	Hamburg	53.550341	10.000654	13	https://8.react.pages.academy/static/hotel/5.jpg	https://8.react.pages.academy/static/hotel/3.jpg,https://8.react.pages.academy/static/hotel/3.jpg,https://8.react.pages.academy/static/hotel/3.jpg,https://8.react.pages.academy/static/hotel/3.jpg,https://8.react.pages.academy/static/hotel/3.jpg,https://8.react.pages.academy/static/hotel/3.jpg	true	0	room	4	2	373	Laptop friendly workspace	123	123	false	123	1	50	12	13	123
cozy	I am happy to welcome you to my apartment in the city center! Three words: location, cosy and chic!	2023-05-03T21:14:57.419Z	Brussels	50.846557	4.351697	13	https://8.react.pages.academy/static/hotel/16.jpg	https://8.react.pages.academy/static/hotel/12.jpg,https://8.react.pages.academy/static/hotel/12.jpg,https://8.react.pages.academy/static/hotel/12.jpg,https://8.react.pages.academy/static/hotel/12.jpg,https://8.react.pages.academy/static/hotel/12.jpg,https://8.react.pages.academy/static/hotel/12.jpg	true	3	hotel	2	3	1668	Baby seat	123	123	false	123	9	49	1	13	123
Nice	Relax, rejuvenate and unplug in this ultimate rustic getaway experience in the country. In our beautiful screened Pondhouse, you can gaze at the stars and listen to the sounds of nature from your cozy warm bed.	2023-05-07T21:14:57.420Z	Brussels	50.846557	4.351697	13	https://8.react.pages.academy/static/hotel/5.jpg	https://8.react.pages.academy/static/hotel/6.jpg,https://8.react.pages.academy/static/hotel/6.jpg,https://8.react.pages.academy/static/hotel/6.jpg,https://8.react.pages.academy/static/hotel/6.jpg,https://8.react.pages.academy/static/hotel/6.jpg,https://8.react.pages.academy/static/hotel/6.jpg	true	2	house	4	5	282	Towels	123	123	false	123	1	53	7	13	123
Tile House	This is a place for dreamers to reset, reflect, and create. Designed with a 'slow' pace in mind, our hope is that you enjoy every part of your stay; from making local coffee by drip in the morning, choosing the perfect record to put on as the sun sets.	2023-05-04T21:14:57.420Z	Amsterdam	52.37454	4.897976	13	https://8.react.pages.academy/static/hotel/14.jpg	https://8.react.pages.academy/static/hotel/14.jpg,https://8.react.pages.academy/static/hotel/14.jpg,https://8.react.pages.academy/static/hotel/14.jpg,https://8.react.pages.academy/static/hotel/14.jpg,https://8.react.pages.academy/static/hotel/14.jpg,https://8.react.pages.academy/static/hotel/14.jpg	true	5	house	5	2	371	Fridge	123	123	false	123	2	55	5	13	123
Waterfront with extraordinary view	Peaceful studio in the most wanted area in town. Quiet house Near of everything. Completely renovated. Lovely neighbourhood, lot of trendy shops, restaurants and bars in a walking distance.	2023-05-06T21:14:57.420Z	Amsterdam	52.37454	4.897976	13	https://8.react.pages.academy/static/hotel/1.jpg	https://8.react.pages.academy/static/hotel/10.jpg,https://8.react.pages.academy/static/hotel/10.jpg,https://8.react.pages.academy/static/hotel/10.jpg,https://8.react.pages.academy/static/hotel/10.jpg,https://8.react.pages.academy/static/hotel/10.jpg,https://8.react.pages.academy/static/hotel/10.jpg	false	5	house	1	2	388	Air conditioning	123	123	true	123	2	53	5	13	123
4-5 rooms + 5 balconies	Peaceful studio in the most wanted area in town. Quiet house Near of everything. Completely renovated. Lovely neighbourhood, lot of trendy shops, restaurants and bars in a walking distance.	2023-05-04T21:14:57.420Z	Amsterdam	52.37454	4.897976	13	https://8.react.pages.academy/static/hotel/9.jpg	https://8.react.pages.academy/static/hotel/13.jpg,https://8.react.pages.academy/static/hotel/13.jpg,https://8.react.pages.academy/static/hotel/13.jpg,https://8.react.pages.academy/static/hotel/13.jpg,https://8.react.pages.academy/static/hotel/13.jpg,https://8.react.pages.academy/static/hotel/13.jpg	false	5	hotel	2	2	946	Breakfast	123	123	true	123	5	56	7	13	123
cozy	I rent out a very sunny and bright apartment only 7 minutes walking distance to the metro station. The apartment has a spacious living room with a kitchen, one bedroom and a bathroom with mit bath. A terrace can be used in summer.	2023-05-05T21:14:57.420Z	Cologne	50.938361	6.959974	13	https://8.react.pages.academy/static/hotel/14.jpg	https://8.react.pages.academy/static/hotel/15.jpg,https://8.react.pages.academy/static/hotel/15.jpg,https://8.react.pages.academy/static/hotel/15.jpg,https://8.react.pages.academy/static/hotel/15.jpg,https://8.react.pages.academy/static/hotel/15.jpg,https://8.react.pages.academy/static/hotel/15.jpg	false	2	house	2	4	1659	Breakfast	123	123	true	123	4	49	11	13	123
Perfectly located Castro	Peaceful studio in the most wanted area in town. Quiet house Near of everything. Completely renovated. Lovely neighbourhood, lot of trendy shops, restaurants and bars in a walking distance.	2023-05-07T21:14:57.420Z	Brussels	50.846557	4.351697	13	https://8.react.pages.academy/static/hotel/17.jpg	https://8.react.pages.academy/static/hotel/14.jpg,https://8.react.pages.academy/static/hotel/14.jpg,https://8.react.pages.academy/static/hotel/14.jpg,https://8.react.pages.academy/static/hotel/14.jpg,https://8.react.pages.academy/static/hotel/14.jpg,https://8.react.pages.academy/static/hotel/14.jpg	true	2	room	4	4	1970	Towels	123	123	true	123	7	47	0	13	123
Penthouse	Discover daily local life in city center, friendly neighborhood, clandestine casino, karaoke, old-style artisans, art gallery and artist studio downstairs.	2023-05-03T21:14:57.420Z	Amsterdam	52.37454	4.897976	13	https://8.react.pages.academy/static/hotel/12.jpg	https://8.react.pages.academy/static/hotel/15.jpg,https://8.react.pages.academy/static/hotel/15.jpg,https://8.react.pages.academy/static/hotel/15.jpg,https://8.react.pages.academy/static/hotel/15.jpg,https://8.react.pages.academy/static/hotel/15.jpg,https://8.react.pages.academy/static/hotel/15.jpg	true	5	hotel	4	1	1675	Breakfast	123	123	false	123	10	51	5	13	123
cozy	Design interior in most sympathetic area! Complitely renovated, well-equipped, cosy studio in idyllic, over 100 years old wooden house. Calm street, fast connection to center and airport.	2023-05-02T21:14:57.421Z	Hamburg	53.550341	10.000654	13	https://8.react.pages.academy/static/hotel/9.jpg	https://8.react.pages.academy/static/hotel/4.jpg,https://8.react.pages.academy/static/hotel/4.jpg,https://8.react.pages.academy/static/hotel/4.jpg,https://8.react.pages.academy/static/hotel/4.jpg,https://8.react.pages.academy/static/hotel/4.jpg,https://8.react.pages.academy/static/hotel/4.jpg	false	2	house	4	3	1831	Air conditioning	123	123	true	123	6	49	8	13	123
